Campus,Algebra_Rate,Biology_Rate,English_Rate,US_History_Rate,Class_Size_English,Class_Size_Math,Class_Size_Sci,Class_Size_Soc_Stud,Teacher_Beginning_Count,Teacher_Beginning_Percent,Teacher_1-5_Years_Count,Teacher_1-5_Years_Percent,Teacher_6-10_Years_Count,Teacher_6-10_Years_Percent,Teacher_11-20_Years_Count,Teacher_11-20_Years_Percent,Teacher_More_Than_20_Years_Count,Teacher_More_Than_20_Years_Percent,Teacher_BA_Degree_Count,Teacher_BA_Degree_Percent,Teacher_Experience_Average,Teacher_Student_Ratio,Teacher_MS_Degree_Count,Teacher_MS_Degree_Percent,Teacher_No_Degree_Count,Teacher_No_Degree_Percent,Teacher_PH_Degree_Count,Teacher_PH_Degree_Percent,Teacher_Tenure_Average,Campus_Name,County_Name,County,District_Name,District,Region,Region_Name,Median_Household_Income,Gini_Index,Median_Family_Income,Poverty_Rate,Avg_Max_Temp,Avg_Min_Temp
052901001,32.0,39.0,44.0,82.0,10.8,16.0,15.8,10.0,1.7,6.5,2.4,9.1,3.1,11.8,8.1,31.0,10.8,41.6,17.0,65.2,17.0,12.6,9.0,34.8,0.0,0.0,0.0,0.0,5.0,CRANE H S,CRANE,052,CRANE ISD,052901,18,MIDLAND,65969.0,0.4048,72652.0,7.892544773011245,91.0,51.36
053001001,61.0,49.0,40.0,60.0,10.8,8.9,11.5,12.5,1.8,8.6,5.5,26.0,2.0,9.4,6.5,30.5,5.4,25.5,13.7,64.4,13.1,9.4,5.7,26.7,1.9,8.9,0.0,0.0,7.8,OZONA H S,CROCKETT,053,CROCKETT COUNTY CONSOLIDATED CSD,053001,15,SAN ANGELO,47386.0,0.4284,57021.0,18.28358208955224,86.91,51.91
054901001,25.0,35.0,25.0,73.0,11.6,10.6,10.4,12.4,1.3,6.4,2.3,11.2,5.0,23.9,5.4,25.9,6.8,32.5,15.4,74.0,14.6,9.0,5.4,26.0,0.0,0.0,0.0,0.0,6.1,CROSBYTON SECONDARY,CROSBY,054,CROSBYTON CISD,054901,17,LUBBOCK,40759.0,0.4343,50797.0,20.373543522960933,86.91,44.27
054902001,42.0,33.0,40.0,50.0,10.6,10.9,11.1,12.0,1.0,6.5,2.0,13.0,1.0,6.5,7.3,47.8,4.0,26.2,11.8,76.8,15.6,8.6,3.6,23.2,0.0,0.0,0.0,0.0,6.7,LORENZO H S,CROSBY,054,LORENZO ISD,054902,17,LUBBOCK,40759.0,0.4343,50797.0,20.373543522960933,86.91,44.27
054903001,39.0,50.0,49.0,52.0,6.9,7.3,8.5,7.7,0.0,0.0,12.1,61.9,3.3,16.9,2.7,13.9,1.4,7.2,17.0,86.6,8.0,6.7,2.6,13.4,0.0,0.0,0.0,0.0,3.9,RALLS H S,CROSBY,054,RALLS ISD,054903,17,LUBBOCK,40759.0,0.4343,50797.0,20.373543522960933,86.91,44.27
055901001,14.0,41.0,29.0,45.0,6.7,12.8,14.5,6.7,1.0,3.1,4.8,15.0,7.9,24.5,5.8,18.1,12.6,39.3,28.5,88.5,15.5,11.8,3.7,11.5,0.0,0.0,0.0,0.0,10.5,VAN HORN SCHOOL,CULBERSON,055,CULBERSON COUNTY-ALLAMOORE ISD,055901,18,MIDLAND,37900.0,0.3892,43854.0,29.49412827461608,84.73,44.55
056901001,41.0,35.0,28.0,64.0,13.2,15.2,13.5,14.2,3.0,7.0,9.5,22.0,9.0,20.9,14.2,32.8,7.5,17.4,37.2,86.1,12.0,11.7,6.0,13.9,0.0,0.0,0.0,0.0,6.8,DALHART H S,DALLAM,056,DALHART ISD,056901,16,AMARILLO,58811.0,0.4676,69018.0,12.02081051478642,85.36,42.73
057802001,63.0,44.0,29.0,23.0,20.4,17.2,23.8,21.4,1.0,2.6,19.4,50.5,9.6,24.9,3.8,10.0,4.6,12.1,26.9,69.8,7.7,17.6,10.8,28.2,0.0,0.0,0.8,2.0,3.0,PEGASUS CHARTER H S,DALLAS,057,PEGASUS SCHOOL OF LIBERAL ARTS AND,057802,10,RICHARDSON,59607.0,0.4982,67159.0,15.183430844983327,87.55,54.82
057803002,13.0,92.0,90.0,95.0,13.7,12.4,13.9,11.7,2.1,5.9,14.0,40.1,4.5,13.0,11.5,33.0,2.8,8.0,28.5,81.7,9.5,15.2,5.9,16.9,0.0,0.0,0.5,1.4,6.3,UPLIFT EDUCATION-NORTH HILLS PREP,DALLAS,057,UPLIFT EDUCATION,057803,10,RICHARDSON,59607.0,0.4982,67159.0,15.183430844983327,87.55,54.82
057803004,17.0,64.0,57.0,68.0,18.3,18.9,20.4,21.8,8.1,19.5,28.2,67.7,3.3,8.0,1.0,2.4,1.0,2.4,26.9,64.6,3.1,12.8,13.8,33.0,0.0,0.0,1.0,2.4,2.1,UPLIFT WILLIAMS PREPARATORY H S,DALLAS,057,UPLIFT EDUCATION,057803,10,RICHARDSON,59607.0,0.4982,67159.0,15.183430844983327,87.55,54.82
057803005,17.0,52.0,42.0,73.0,19.8,18.8,19.6,19.3,9.4,22.4,26.6,63.3,4.0,9.5,2.0,4.8,0.0,0.0,28.1,66.7,2.9,11.0,12.0,28.5,0.0,0.0,2.0,4.8,1.8,UPLIFT LUNA PREPARATORY H S,DALLAS,057,UPLIFT EDUCATION,057803,10,RICHARDSON,59607.0,0.4982,67159.0,15.183430844983327,87.55,54.82
057803006,39.0,33.0,38.0,45.0,18.6,19.2,23.4,22.2,9.6,26.5,22.9,63.1,1.8,4.9,2.0,5.5,0.0,0.0,21.8,59.9,2.2,14.8,11.5,31.8,0.0,0.0,3.0,8.3,1.3,UPLIFT HEIGHTS PREPARATORY H S,DALLAS,057,UPLIFT EDUCATION,057803,10,RICHARDSON,59607.0,0.4982,67159.0,15.183430844983327,87.55,54.82
057803007,23.0,54.0,48.0,68.0,13.8,14.7,14.6,16.6,12.6,38.2,16.4,49.7,2.0,6.1,1.0,3.0,1.0,3.0,13.4,40.5,2.9,10.9,17.7,53.5,0.0,0.0,2.0,6.1,1.8,UPLIFT HAMPTON PREPARATORY H S,DALLAS,057,UPLIFT EDUCATION,057803,10,RICHARDSON,59607.0,0.4982,67159.0,15.183430844983327,87.55,54.82
057803009,9.0,62.0,59.0,81.0,15.9,21.1,15.8,11.4,7.9,21.1,19.4,52.1,6.0,16.1,4.0,10.7,0.0,0.0,20.0,53.5,4.2,13.0,15.0,40.2,0.1,0.3,2.2,6.0,2.7,UPLIFT SUMMIT INTERNATIONAL H S,DALLAS,057,UPLIFT EDUCATION,057803,10,RICHARDSON,59607.0,0.4982,67159.0,15.183430844983327,87.55,54.82
057803010,23.0,52.0,53.0,63.0,18.7,18.5,20.1,17.8,3.3,9.1,18.4,50.0,6.0,16.3,8.0,21.8,1.0,2.7,28.2,76.9,5.7,12.5,6.5,17.7,0.0,0.0,2.0,5.4,3.7,UPLIFT PEAK PREPARATORY H S,DALLAS,057,UPLIFT EDUCATION,057803,10,RICHARDSON,59607.0,0.4982,67159.0,15.183430844983327,87.55,54.82
057803013,10.0,68.0,56.0,62.0,17.0,13.2,18.9,18.2,8.2,35.7,12.7,54.9,1.0,4.3,1.2,5.0,0.0,0.0,15.5,67.4,2.9,14.0,6.5,28.3,0.0,0.0,1.0,4.3,1.6,UPLIFT INFINITY H S,DALLAS,057,UPLIFT EDUCATION,057803,10,RICHARDSON,59607.0,0.4982,67159.0,15.183430844983327,87.55,54.82
057803014,6.0,24.0,32.0,63.0,14.6,15.3,16.7,17.4,14.4,45.7,16.7,53.0,0.4,1.3,0.0,0.0,0.0,0.0,17.8,56.6,1.4,13.0,13.7,43.4,0.0,0.0,0.0,0.0,1.0,UPLIFT MIGHTY H S,DALLAS,057,UPLIFT EDUCATION,057803,10,RICHARDSON,59607.0,0.4982,67159.0,15.183430844983327,87.55,54.82
057803016,45.0,71.0,57.0,89.0,12.0,12.4,14.6,14.6,3.7,44.3,3.9,47.2,0.7,8.5,0.0,0.0,0.0,0.0,6.1,74.5,2.0,26.9,2.1,25.5,0.0,0.0,0.0,0.0,1.8,UPLIFT GRAND H S,DALLAS,057,UPLIFT EDUCATION,057803,10,RICHARDSON,59607.0,0.4982,67159.0,15.183430844983327,87.55,54.82
057804001,30.0,12.0,16.0,19.0,11.1,12.6,13.7,11.8,4.9,25.4,6.9,35.6,4.7,24.3,2.9,14.7,0.0,0.0,14.7,75.7,4.5,20.2,4.7,24.3,0.0,0.0,0.0,0.0,2.8,DALLAS CAN ACADEMY CHARTER,DALLAS,057,TEXANS CAN ACADEMIES,057804,10,RICHARDSON,59607.0,0.4982,67159.0,15.183430844983327,87.55,54.82
057804002,28.0,12.0,8.0,22.0,15.3,14.7,13.6,15.0,5.9,21.4,12.9,46.4,6.9,25.0,2.0,7.1,0.0,0.0,20.8,75.0,4.0,21.1,6.9,25.0,0.0,0.0,0.0,0.0,2.4,DALLAS CAN ACADEMY CHARTER-OAK CLI,DALLAS,057,TEXANS CAN ACADEMIES,057804,10,RICHARDSON,59607.0,0.4982,67159.0,15.183430844983327,87.55,54.82
057804003,40.0,38.0,22.0,53.0,9.4,14.6,13.8,12.8,3.0,16.7,8.9,50.0,4.0,22.3,2.0,11.1,0.0,0.0,10.9,61.1,3.8,18.7,5.9,33.3,0.0,0.0,1.0,5.6,1.7,DALLAS CAN ACADEMY AT CARROLLTON-F,DALLAS,057,TEXANS CAN ACADEMIES,057804,10,RICHARDSON,59607.0,0.4982,67159.0,15.183430844983327,87.55,54.82
057804004,15.0,15.0,11.0,11.0,15.0,15.8,12.4,17.1,0.0,0.0,8.8,37.2,5.9,25.1,8.9,37.7,0.0,0.0,17.7,74.9,8.8,22.9,5.9,25.1,0.0,0.0,0.0,0.0,7.1,DALLAS CAN ACADEMY AT PLEASANT GRO,DALLAS,057,TEXANS CAN ACADEMIES,057804,10,RICHARDSON,59607.0,0.4982,67159.0,15.183430844983327,87.55,54.82
057804005,10.0,17.0,12.0,24.0,12.6,12.7,10.8,10.7,4.0,23.5,5.9,35.3,2.0,11.8,5.0,29.5,0.0,0.0,13.9,82.4,5.8,20.0,3.0,17.6,0.0,0.0,0.0,0.0,2.9,DALLAS CAN ACADEMY - GRANT EAST,DALLAS,057,TEXANS CAN ACADEMIES,057804,10,RICHARDSON,59607.0,0.4982,67159.0,15.183430844983327,87.55,54.82
057804006,25.0,15.0,10.0,22.0,13.4,10.9,8.8,10.4,3.0,13.0,9.9,43.5,9.9,43.5,0.0,0.0,0.0,0.0,20.8,91.3,4.0,17.8,2.0,8.7,0.0,0.0,0.0,0.0,3.4,AUSTIN CAN ACADEMY,DALLAS,057,TEXANS CAN ACADEMIES,057804,10,RICHARDSON,59607.0,0.4982,67159.0,15.183430844983327,87.55,54.82
057804007,19.0,15.0,10.0,30.0,15.9,16.5,15.4,12.8,3.0,18.7,4.9,31.2,2.0,12.5,5.9,37.5,0.0,0.0,11.9,74.9,6.3,21.9,2.0,12.6,0.0,0.0,2.0,12.5,4.2,FORT WORTH CAN ACADEMY WESTCREEK,DALLAS,057,TEXANS CAN ACADEMIES,057804,10,RICHARDSON,59607.0,0.4982,67159.0,15.183430844983327,87.55,54.82
057804008,28.0,14.0,9.0,20.0,12.9,13.1,14.0,15.1,1.0,5.3,12.9,68.4,4.0,21.1,1.0,5.3,0.0,0.0,15.8,84.2,4.1,22.0,2.0,10.5,0.0,0.0,1.0,5.3,3.1,FORT WORTH CAN ACADEMY LANCASTER A,DALLAS,057,TEXANS CAN ACADEMIES,057804,10,RICHARDSON,59607.0,0.4982,67159.0,15.183430844983327,87.55,54.82
057804009,27.0,13.0,9.0,21.0,17.4,15.2,16.6,17.1,4.0,20.0,10.9,55.1,4.9,25.0,0.0,0.0,0.0,0.0,10.9,55.0,4.1,22.4,8.9,45.0,0.0,0.0,0.0,0.0,2.7,HOUSTON CAN ACADEMY - NORTH,DALLAS,057,TEXANS CAN ACADEMIES,057804,10,RICHARDSON,59607.0,0.4982,67159.0,15.183430844983327,87.55,54.82
057804010,26.0,8.0,11.0,13.0,14.9,14.0,13.9,14.8,0.0,0.0,8.9,54.9,3.5,21.4,3.8,23.7,0.0,0.0,11.4,70.1,5.5,21.4,4.8,29.9,0.0,0.0,0.0,0.0,2.7,HOUSTON CAN ACADEMY - HOBBY,DALLAS,057,TEXANS CAN ACADEMIES,057804,10,RICHARDSON,59607.0,0.4982,67159.0,15.183430844983327,87.55,54.82
057804011,14.0,18.0,22.0,59.0,18.8,14.0,17.3,16.6,1.0,5.9,9.9,58.8,3.0,17.6,2.0,11.8,1.0,5.9,12.9,76.5,5.7,21.3,3.0,17.6,0.0,0.0,1.0,5.9,3.4,SAN ANTONIO CAN ACADEMY,DALLAS,057,TEXANS CAN ACADEMIES,057804,10,RICHARDSON,59607.0,0.4982,67159.0,15.183430844983327,87.55,54.82
057804012,15.0,19.0,11.0,31.0,16.7,13.6,15.8,15.5,5.3,41.9,2.0,15.7,4.4,34.6,1.0,7.9,0.0,0.0,10.6,84.3,4.4,24.5,2.0,15.7,0.0,0.0,0.0,0.0,1.7,HOUSTON CAN ACADEMY - SOUTHWEST,DALLAS,057,TEXANS CAN ACADEMIES,057804,10,RICHARDSON,59607.0,0.4982,67159.0,15.183430844983327,87.55,54.82
057804013,25.0,33.0,14.0,28.0,9.2,11.0,10.4,10.6,2.0,16.6,4.9,41.6,1.0,8.4,4.0,33.3,0.0,0.0,6.9,58.4,5.8,22.0,4.9,41.6,0.0,0.0,0.0,0.0,2.5,GARLAND CAN ACADEMY,DALLAS,057,TEXANS CAN ACADEMIES,057804,10,RICHARDSON,59607.0,0.4982,67159.0,15.183430844983327,87.55,54.82
057806101,30.0,50.0,36.0,61.0,20.7,19.9,22.2,21.5,12.6,14.2,41.5,46.8,14.8,16.7,15.8,17.8,4.0,4.5,58.1,65.6,6.3,19.0,29.6,33.3,0.0,0.0,1.0,1.1,1.7,ADVANTAGE ACADEMY,DALLAS,057,ADVANTAGE ACADEMY,057806,10,RICHARDSON,59607.0,0.4982,67159.0,15.183430844983327,87.55,54.82
057807001,35.0,52.0,45.0,38.0,17.8,17.9,21.0,20.9,12.0,11.3,50.3,47.5,20.3,19.1,19.4,18.3,4.0,3.8,75.7,71.4,6.3,14.5,29.3,27.7,0.0,0.0,1.0,0.9,2.3,LIFE SCHOOL OAK CLIFF,DALLAS,057,LIFE SCHOOL,057807,10,RICHARDSON,59607.0,0.4982,67159.0,15.183430844983327,87.55,54.82
057807002,33.0,71.0,56.0,68.0,16.7,20.8,20.0,21.2,5.0,7.7,29.0,44.6,12.0,18.5,13.0,20.0,6.0,9.2,43.0,66.2,8.2,14.9,19.0,29.2,0.0,0.0,3.0,4.6,3.3,LIFE H S WAXAHACHIE,DALLAS,057,LIFE SCHOOL,057807,10,RICHARDSON,59607.0,0.4982,67159.0,15.183430844983327,87.55,54.82
057808101,44.0,54.0,48.0,67.0,13.4,13.9,12.7,12.8,0.0,0.0,45.1,86.5,5.8,11.2,1.2,2.3,0.0,0.0,44.1,84.6,3.1,13.8,7.5,14.4,0.0,0.0,0.6,1.1,2.6,UNIVERSAL ACADEMY,DALLAS,057,UNIVERSAL ACADEMY,057808,10,RICHARDSON,59607.0,0.4982,67159.0,15.183430844983327,87.55,54.82
057808102,80.0,73.0,77.0,100.0,6.9,7.6,6.9,7.7,-2.0,0.4,80.3,89.8,1.4,1.6,7.4,8.3,0.0,0.0,79.7,89.1,3.1,15.0,9.3,10.4,0.0,0.0,0.4,0.5,2.6,UNIVERSAL ACADEMY - COPPELL,DALLAS,057,UNIVERSAL ACADEMY,057808,10,RICHARDSON,59607.0,0.4982,67159.0,15.183430844983327,87.55,54.82
057819001,63.0,50.0,57.0,80.0,6.0,6.5,6.2,6.1,11.3,69.3,4.0,24.5,0.0,0.0,1.0,6.1,0.0,0.0,13.2,80.7,2.0,12.0,3.2,19.3,0.0,0.0,0.0,0.0,0.1,JEAN MASSIEU ACADEMY,DALLAS,057,JEAN MASSIEU ACADEMY,057819,10,RICHARDSON,59607.0,0.4982,67159.0,15.183430844983327,87.55,54.82
057828001,15.0,16.0,9.0,17.0,4.6,3.7,2.1,3.0,2.2,34.1,2.0,30.4,2.3,35.5,0.0,0.0,0.0,0.0,5.6,85.4,4.1,25.5,1.0,14.6,0.0,0.0,0.0,0.0,1.2,WINFREE ACADEMY CHARTER SCHOOL (IR,DALLAS,057,WINFREE ACADEMY CHARTER SCHOOLS,057828,10,RICHARDSON,59607.0,0.4982,67159.0,15.183430844983327,87.55,54.82
057828002,16.0,42.0,37.0,53.0,3.5,3.8,3.0,2.5,0.0,0.0,2.9,42.9,1.0,14.6,2.0,29.0,0.9,13.5,4.5,65.9,13.4,23.7,2.3,34.1,0.0,0.0,0.0,0.0,2.5,WINFREE ACADEMY CHARTER SCHOOL (LE,DALLAS,057,WINFREE ACADEMY CHARTER SCHOOLS,057828,10,RICHARDSON,59607.0,0.4982,67159.0,15.183430844983327,87.55,54.82
057828003,16.0,23.0,21.0,42.0,3.7,3.5,2.6,2.6,3.0,24.4,3.6,30.0,3.6,29.4,0.5,3.9,1.5,12.2,7.2,59.4,7.2,23.6,4.9,40.6,0.0,0.0,0.0,0.0,3.2,WINFREE ACADEMY CHARTER SCHOOL (RI,DALLAS,057,WINFREE ACADEMY CHARTER SCHOOLS,057828,10,RICHARDSON,59607.0,0.4982,67159.0,15.183430844983327,87.55,54.82
057828004,3.0,24.0,9.0,27.0,5.3,5.2,3.3,3.2,2.8,22.2,5.0,39.9,3.7,29.2,0.1,1.1,1.0,7.6,11.6,92.4,5.0,24.4,1.0,7.6,0.0,0.0,0.0,0.0,1.8,WINFREE ACADEMY CHARTER SCHOOL - G,DALLAS,057,WINFREE ACADEMY CHARTER SCHOOLS,057828,10,RICHARDSON,59607.0,0.4982,67159.0,15.183430844983327,87.55,54.82
057828005,14.0,23.0,17.0,38.0,4.0,4.0,2.7,3.1,0.7,6.0,6.9,59.5,2.0,17.0,0.0,0.0,2.0,17.4,9.1,78.2,8.6,22.1,2.5,21.8,0.0,0.0,0.0,0.0,2.6,WINFREE ACADEMY NORTH RICHLAND HIL,DALLAS,057,WINFREE ACADEMY CHARTER SCHOOLS,057828,10,RICHARDSON,59607.0,0.4982,67159.0,15.183430844983327,87.55,54.82
057828006,4.0,13.0,10.0,41.0,3.6,3.3,,2.9,0.0,0.0,2.3,42.6,1.3,23.7,1.8,33.7,0.0,0.0,3.4,63.7,8.2,25.0,2.0,36.3,0.0,0.0,0.0,0.0,3.0,WINFREE ACADEMY CHARTER SCHOOL DAL,DALLAS,057,WINFREE ACADEMY CHARTER SCHOOLS,057828,10,RICHARDSON,59607.0,0.4982,67159.0,15.183430844983327,87.55,54.82
057829002,54.0,50.0,47.0,74.0,14.1,15.9,17.9,18.5,12.0,28.7,12.1,28.8,3.0,7.2,5.6,13.3,9.2,21.9,17.7,42.4,9.6,14.0,21.3,51.0,0.0,0.0,2.7,6.6,5.5,A+ SECONDARY SCHOOL,DALLAS,057,A+ ACADEMY,057829,10,RICHARDSON,59607.0,0.4982,67159.0,15.183430844983327,87.55,54.82
057830002,42.0,30.0,29.0,61.0,15.3,18.4,19.7,17.7,6.5,16.1,19.3,47.8,2.0,4.9,9.6,23.8,3.0,7.4,19.9,49.2,7.5,14.2,18.2,44.9,0.4,0.9,2.0,4.9,4.7,INSPIRED VISION ACADEMY SECONDARY,DALLAS,057,INSPIRED VISION ACADEMY,057830,10,RICHARDSON,59607.0,0.4982,67159.0,15.183430844983327,87.55,54.82
057831002,41.0,30.0,36.0,69.0,18.9,15.6,18.4,18.5,1.0,5.4,10.8,58.4,1.0,5.4,3.7,20.0,2.0,10.8,16.6,90.0,6.9,15.6,1.8,10.0,0.0,0.0,0.0,0.0,1.4,GATEWAY CHARTER ACADEMY - MIDDLE -,DALLAS,057,GATEWAY CHARTER ACADEMY,057831,10,RICHARDSON,59607.0,0.4982,67159.0,15.183430844983327,87.55,54.82
057834001,4.0,11.0,14.0,53.0,11.9,9.2,10.1,10.0,0.0,0.0,2.0,20.2,2.0,20.2,5.6,56.6,-2.0,2.9,7.6,76.9,12.8,36.0,1.3,13.0,0.0,0.0,1.0,10.1,8.8,EVOLUTION ACADEMY CHARTER SCHOOL,DALLAS,057,EVOLUTION ACADEMY CHARTER SCHOOL,057834,10,RICHARDSON,59607.0,0.4982,67159.0,15.183430844983327,87.55,54.82
057834003,22.0,5.0,19.0,10.0,2.0,2.6,1.2,2.7,0.0,0.0,4.4,72.6,0.8,13.2,0.0,0.0,0.9,14.2,3.5,57.8,6.8,23.8,1.7,28.0,0.0,0.0,0.9,14.2,1.9,EVOLUTION ACADEMY BEAUMONT,DALLAS,057,EVOLUTION ACADEMY CHARTER SCHOOL,057834,10,RICHARDSON,59607.0,0.4982,67159.0,15.183430844983327,87.55,54.82
057834004,5.0,42.0,8.0,32.0,2.6,4.6,4.8,3.1,2.7,23.3,5.0,42.7,1.0,8.5,2.0,17.1,1.0,8.4,8.5,72.7,8.2,27.9,3.2,27.3,0.0,0.0,0.0,0.0,2.7,EVOLUTION ACADEMY HOUSTON,DALLAS,057,EVOLUTION ACADEMY CHARTER SCHOOL,057834,10,RICHARDSON,59607.0,0.4982,67159.0,15.183430844983327,87.55,54.82
057844001,33.0,37.0,44.0,50.0,14.0,14.2,15.3,12.5,5.0,38.3,4.0,30.8,1.0,7.7,2.0,15.4,1.0,7.7,7.0,54.0,4.9,12.5,6.0,46.0,0.0,0.0,0.0,0.0,0.8,MANARA LEADERSHIP ACADEMY,DALLAS,057,MANARA ACADEMY,057844,10,RICHARDSON,59607.0,0.4982,67159.0,15.183430844983327,87.55,54.82
057845001,55.0,85.0,71.0,83.0,14.3,12.1,15.7,13.0,0.0,0.0,0.0,0.0,36.6,100.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,17.1,36.6,100.0,0.0,0.0,0.0,0.0,10.0,UME PREPARATORY ACADEMY,DALLAS,057,UME PREPARATORY ACADEMY,057845,10,RICHARDSON,59607.0,0.4982,67159.0,15.183430844983327,87.55,54.82
057846001,49.0,29.0,22.0,67.0,29.8,20.2,22.4,37.4,23.2,39.5,27.5,46.9,3.0,5.1,4.0,6.8,1.0,1.7,31.5,53.7,2.8,17.7,9.0,15.3,18.2,31.0,0.0,0.0,1.2,LEGACY PREP CHARTER ACADEMY MESQUI,DALLAS,057,LEGACY PREPARATORY,057846,10,RICHARDSON,59607.0,0.4982,67159.0,15.183430844983327,87.55,54.82
057846003,58.0,79.0,63.0,57.0,11.9,9.3,11.3,15.0,10.4,39.3,12.0,45.5,3.0,11.4,0.0,0.0,1.0,3.8,12.1,45.8,2.6,13.4,4.0,15.2,10.3,39.0,0.0,0.0,1.4,LEGACY PREPARATORY CHARTER ACADEMY,DALLAS,057,LEGACY PREPARATORY,057846,10,RICHARDSON,59607.0,0.4982,67159.0,15.183430844983327,87.55,54.82
057847001,34.0,65.0,45.0,80.0,18.1,20.4,21.4,18.2,9.0,14.5,29.9,48.2,15.2,24.5,8.0,12.8,0.0,0.0,54.2,87.4,5.1,18.0,7.8,12.6,0.0,0.0,0.0,0.0,1.6,VILLAGE TECH SCHOOLS,DALLAS,057,VILLAGE TECH SCHOOLS,057847,10,RICHARDSON,59607.0,0.4982,67159.0,15.183430844983327,87.55,54.82
057848003,42.0,65.0,51.0,83.0,15.3,17.6,20.5,19.2,5.7,11.5,33.4,67.6,5.0,10.1,5.3,10.7,0.0,0.0,28.7,58.1,3.9,12.6,17.5,35.5,0.8,1.6,2.4,4.8,1.9,ILTEXAS GARLAND H S,DALLAS,057,INTERNATIONAL LEADERSHIP OF TEXAS,057848,10,RICHARDSON,59607.0,0.4982,67159.0,15.183430844983327,87.55,54.82
057848006,76.0,61.0,48.0,83.0,15.8,16.4,19.4,14.4,6.8,14.3,36.8,77.3,1.0,2.1,3.0,6.3,0.0,0.0,26.7,56.1,2.6,11.3,17.9,37.6,2.0,4.2,1.0,2.1,1.3,ILTEXAS ARLINGTON-GRAND PRAIRIE H,DALLAS,057,INTERNATIONAL LEADERSHIP OF TEXAS,057848,10,RICHARDSON,59607.0,0.4982,67159.0,15.183430844983327,87.55,54.82
057848009,39.0,70.0,63.0,84.0,13.6,13.7,15.4,14.1,6.9,14.2,34.0,69.5,4.0,8.2,3.0,6.1,1.0,2.0,34.0,69.5,3.7,11.1,11.9,24.4,0.0,0.0,3.0,6.1,1.6,ILTEXAS KELLER SAGINAW H S,DALLAS,057,INTERNATIONAL LEADERSHIP OF TEXAS,057848,10,RICHARDSON,59607.0,0.4982,67159.0,15.183430844983327,87.55,54.82
057903001,42.0,51.0,38.0,64.0,26.5,26.2,20.7,28.7,14.8,11.0,31.8,23.7,28.9,21.6,35.5,26.5,23.0,17.2,79.3,59.2,11.2,15.9,48.6,36.3,5.0,3.7,1.0,0.7,7.3,TURNER H S,DALLAS,057,CARROLLTON-FARMERS BRANCH ISD,057903,10,RICHARDSON,59607.0,0.4982,67159.0,15.183430844983327,87.55,54.82
057903002,48.0,53.0,36.0,74.0,21.3,24.9,25.1,27.0,11.4,9.1,44.0,35.3,18.0,14.5,34.2,27.5,17.0,13.6,75.4,60.6,9.5,15.8,48.1,38.6,0.0,0.0,1.0,0.8,6.7,SMITH H S,DALLAS,057,CARROLLTON-FARMERS BRANCH ISD,057903,10,RICHARDSON,59607.0,0.4982,67159.0,15.183430844983327,87.55,54.82
057903006,60.0,73.0,45.0,79.0,22.6,25.7,24.1,26.1,7.6,6.1,43.5,34.9,22.0,17.7,31.0,24.9,20.4,16.4,69.2,55.6,10.7,15.0,48.3,38.8,1.0,0.8,6.0,4.8,7.2,CREEKVIEW H S,DALLAS,057,CARROLLTON-FARMERS BRANCH ISD,057903,10,RICHARDSON,59607.0,0.4982,67159.0,15.183430844983327,87.55,54.82
057903007,47.0,59.0,49.0,65.0,22.9,24.5,24.6,25.9,0.0,0.0,21.8,34.3,22.0,34.6,12.8,20.1,7.0,11.0,35.3,55.6,9.4,14.3,27.2,42.9,1.0,1.6,0.0,0.0,5.6,RANCHVIEW H S,DALLAS,057,CARROLLTON-FARMERS BRANCH ISD,057903,10,RICHARDSON,59607.0,0.4982,67159.0,15.183430844983327,87.55,54.82
057903010,85.0,95.0,83.0,96.0,20.1,17.6,22.0,19.6,1.0,7.1,3.0,21.4,3.0,21.4,3.0,21.4,4.0,28.6,7.0,50.0,12.6,24.1,6.0,42.9,0.0,0.0,1.0,7.1,7.2,EARLY COLLEGE H S,DALLAS,057,CARROLLTON-FARMERS BRANCH ISD,057903,10,RICHARDSON,59607.0,0.4982,67159.0,15.183430844983327,87.55,54.82
057904001,36.0,45.0,39.0,71.0,22.1,21.1,24.4,24.8,9.4,6.4,47.1,32.2,34.8,23.7,36.5,24.9,18.7,12.8,71.1,48.5,9.7,15.5,58.0,39.6,13.5,9.2,4.0,2.7,3.8,CEDAR HILL H S,DALLAS,057,CEDAR HILL ISD,057904,10,RICHARDSON,59607.0,0.4982,67159.0,15.183430844983327,87.55,54.82
057905001,68.0,59.0,45.0,78.0,14.3,17.2,17.5,17.6,11.0,8.6,64.0,50.3,15.1,11.8,26.0,20.4,11.1,8.7,89.0,70.0,7.6,17.0,27.1,21.3,6.1,4.8,5.0,3.9,5.5,BRYAN ADAMS H S,DALLAS,057,DALLAS ISD,057905,10,RICHARDSON,59607.0,0.4982,67159.0,15.183430844983327,87.55,54.82
057905002,57.0,46.0,35.0,70.0,18.3,18.5,19.9,20.4,7.0,7.4,46.0,48.7,17.0,18.0,23.4,24.8,1.0,1.1,65.4,69.3,6.6,17.1,20.0,21.2,7.0,7.4,2.0,2.1,4.7,W H ADAMSON H S,DALLAS,057,DALLAS ISD,057905,10,RICHARDSON,59607.0,0.4982,67159.0,15.183430844983327,87.55,54.82
